model_label,dimension,region,mean_sd_shift,ci_low,ci_high,p_value,sig_p05,n_images,neutral_sd
Gemini 2.5 Flash,depressing,LAC,0.08288922357331331,0.061480918267856954,0.10384209358441085,0.0003332222592469177,True,3000,14.638010600499499
Gemini 2.5 Flash,depressing,ENA,0.024479647071788964,0.007514682356921261,0.04269990531673329,0.009330223258913695,True,3000,14.638010600499499
Gemini 2.5 Flash,lively,SSA,0.27224797130866235,0.256169910379217,0.288002312890535,0.0003332222592469177,True,3000,15.445477811228802
Gemini 2.5 Flash,lively,NAWA,0.07661357892554509,0.06377271147182696,0.08956235282845414,0.0003332222592469177,True,3000,15.445477811228802
Gemini 2.5 Flash,lively,CSA,0.19228929245819912,0.17826145406338098,0.20664354786181968,0.0003332222592469177,True,3000,15.445477811228802
Gemini 2.5 Flash,lively,ESEA,0.0427309538795998,0.03032171222264531,0.05503228908736338,0.0003332222592469177,True,3000,15.445477811228802
Gemini 2.5 Flash,lively,OCE,0.08492237551324505,0.07229462329667898,0.09733161717019953,0.0003332222592469177,True,3000,15.445477811228802
Gemini 2.5 Flash,lively,LAC,0.11880500055919034,0.10455595394353086,0.13380399699672663,0.0003332222592469177,True,3000,15.445477811228802
Gemini 2.5 Flash,lively,ENA,0.004316257967636343,-0.007013919197409059,0.015754341581872652,0.45318227257580806,False,3000,15.445477811228802
Gemini 2.5 Flash,boring,SSA,-0.4014256777965145,-0.4311172887339398,-0.3707808851275505,0.0003332222592469177,True,3000,12.239708631254867
Gemini 2.5 Flash,boring,NAWA,-0.0649525265634116,-0.08755995470322378,-0.041803827368904325,0.0003332222592469177,True,3000,12.239708631254867
Gemini 2.5 Flash,boring,CSA,-0.21841478534111575,-0.2436060168174913,-0.19403716255701772,0.0003332222592469177,True,3000,12.239708631254867
Gemini 2.5 Flash,boring,ESEA,-0.011302011959671196,-0.033228596005527286,0.010757336684506322,0.3138953682105965,False,3000,12.239708631254867
Gemini 2.5 Flash,boring,OCE,-0.2596739374348551,-0.2833673119045273,-0.2357048211071308,0.0003332222592469177,True,3000,12.239708631254867
Gemini 2.5 Flash,boring,LAC,-0.08551401820088571,-0.11097758731484371,-0.05936620077250182,0.0003332222592469177,True,3000,12.239708631254867
Gemini 2.5 Flash,boring,ENA,-0.044799541382311146,-0.06617804593253258,-0.023693374469672155,0.0006664445184938354,True,3000,12.239708631254867
