series,name_en,geonunit,n_points,mean_gap,median_gap,eligible
GPT-5.2,Perth and Kinross,Scotland,2,,,False
GPT-5.2,Peterborough,England,4,-0.8234231025000001,-0.665904865,True
GPT-5.2,Powys,Wales,4,1.4899767000000002,1.983276755,True
GPT-5.2,Redbridge,England,3,1.20357292,1.63346174,True
GPT-5.2,Redcar and Cleveland,England,3,0.0018352299999999666,0.00250716,True
GPT-5.2,Renfrewshire,Scotland,3,-0.0011573166666666984,-5.695999999999479e-05,True
GPT-5.2,Rhondda Cynon Taf,Wales,1,,,False
GPT-5.2,Richmond upon Thames,England,5,0.40255927399999997,0.01032305,True
GPT-5.2,Rochdale,England,1,,,False
GPT-5.2,Sandwell,England,2,,,False
GPT-5.2,Scottish Borders,Scotland,10,-0.003132848000000027,0.0035727499999999,True
GPT-5.2,Sheffield,England,2,,,False
GPT-5.2,Shropshire,England,8,0.834824465,0.370000285,True
GPT-5.2,Solihull,England,2,,,False
GPT-5.2,Somerset,England,7,0.003515142857142884,-0.0013098999999999,True
GPT-5.2,South Ayrshire,Scotland,3,-0.33739981666666674,0.0024198799999999,True
GPT-5.2,South Gloucestershire,England,2,,,False
GPT-5.2,South Lanarkshire,Scotland,1,,,False
GPT-5.2,South Tyneside,England,4,0.026946312499999972,0.0086334,True
GPT-5.2,Southampton,England,2,,,False
GPT-5.2,Southend-on-Sea,England,1,,,False
GPT-5.2,Southwark,England,4,0.4924311,0.007583165,True
GPT-5.2,Staffordshire,England,5,0.685533988,0.03224289,True
GPT-5.2,Stirling,Scotland,1,,,False
GPT-5.2,Stockport,England,1,,,False
GPT-5.2,Stockton-on-Tees,England,3,0.66256695,0.00187355,True
GPT-5.2,Stoke-on-Trent,England,1,,,False
GPT-5.2,Suffolk,England,6,0.3416835583333333,0.00977381,True
GPT-5.2,Surrey,England,7,1.135953767142857,1.97504205,True
GPT-5.2,Swansea,Wales,2,,,False
GPT-5.2,Swindon,England,4,0.9996924574999999,0.9991721349999999,True
GPT-5.2,Tameside,England,8,1.23637878,1.95349991,True
GPT-5.2,Telford and Wrekin,England,3,0.6616022833333333,0.0041489,True
GPT-5.2,Thurrock,England,1,,,False
GPT-5.2,Torbay,England,11,0.5544936909090908,0.0088630299999999,True
GPT-5.2,Torfaen,Wales,5,-0.38097938400000003,0.0063395,True
GPT-5.2,Tower Hamlets,England,1,,,False
GPT-5.2,Trafford,England,2,,,False
GPT-5.2,Vale of Glamorgan,Wales,1,,,False
GPT-5.2,Wakefield,England,2,,,False
GPT-5.2,Walsall,England,1,,,False
GPT-5.2,Wandsworth,England,3,0.0047825466666666,0.0012506999999999,True
GPT-5.2,Warrington,England,1,,,False
GPT-5.2,Warwickshire,England,14,0.5644380657142857,0.001401485,True
GPT-5.2,West Berkshire,England,3,0.6676195133333334,0.0121904499999999,True
GPT-5.2,West Dunbartonshire,Scotland,3,-0.0053511366666666,-0.0017171599999999,True
GPT-5.2,West Lothian,Scotland,2,,,False
GPT-5.2,West Sussex,England,10,0.21438759499999996,0.005576849999999901,True
GPT-5.2,Westminster,England,4,1.483947875,1.971083065,True
GPT-5.2,Wiltshire,England,8,0.874398051875,0.5416879824999999,True
GPT-5.2,Windsor and Maidenhead,England,2,,,False
GPT-5.2,Wokingham,England,2,,,False
GPT-5.2,Wolverhampton,England,1,,,False
GPT-5.2,Worcestershire,England,9,0.44142042,0.0052712999999999,True
GPT-5.2,York,England,10,0.608017025,0.0034868249999999,True
Gemini 2.5 Flash,Aberdeen,Scotland,4,0.003336739999999975,0.0007763999999999499,True
Gemini 2.5 Flash,Aberdeenshire,Scotland,3,0.004150859999999933,0.0060495999999999,True
Gemini 2.5 Flash,Anglesey,Wales,1,,,False
Gemini 2.5 Flash,Angus,Scotland,2,,,False
Gemini 2.5 Flash,Argyll and Bute,Scotland,1,,,False
Gemini 2.5 Flash,Barking and Dagenham,England,1,,,False
Gemini 2.5 Flash,Barnet,England,4,0.4986176599999999,0.00246242999999995,True
Gemini 2.5 Flash,Barnsley,England,3,0.65921792,0.00030584,True
Gemini 2.5 Flash,Bath and North East Somerset,England,3,-0.6336535566666667,0.0033792299999999,True
Gemini 2.5 Flash,Birmingham,England,14,0.5698592671428572,0.00251321,True
Gemini 2.5 Flash,Bolton,England,5,0.399917306,0.0009774,True
Gemini 2.5 Flash,Bournemouth,England,1,,,False
Gemini 2.5 Flash,Bradford,England,8,0.33643743875,0.07274562999999995,True
Gemini 2.5 Flash,Brent,England,1,,,False
Gemini 2.5 Flash,Bridgend,Wales,2,,,False
Gemini 2.5 Flash,Bristol,England,13,0.34914487538461536,0.0052354,True
