dimension,meso7_key,meso7_label,mean_delta,ci_low,ci_high,p_value,sig_p05,n_images,model_label
safe,europe_northern_america,ENA,-0.9796362198497431,-1.290060300514037,-0.6751680506128905,0.0003332222592469177,True,843,Gemini 2.5 Flash
lively,sub_saharan_africa,SSA,6.0128665469778575,5.520646319569121,6.502131956912028,0.0003332222592469177,True,557,Gemini 2.5 Flash
lively,northern_africa_western_asia,NAWA,1.676788124156545,1.1336032388663968,2.2402159244264506,0.0003332222592469177,True,247,Gemini 2.5 Flash
lively,central_southern_asia,CSA,2.943548387096774,2.427217741935484,3.4866263440860217,0.0003332222592469177,True,310,Gemini 2.5 Flash
lively,east_southeast_asia,ESEA,0.8210422812192724,0.4473328416912487,1.2242502458210425,0.0003332222592469177,True,339,Gemini 2.5 Flash
lively,oceania,OCE,0.7527777777777777,0.28604166666666636,1.236111111111111,0.0023325558147284237,True,300,Gemini 2.5 Flash
lively,latin_america_caribbean,LAC,2.4381188118811883,1.9614789603960396,2.9207920792079207,0.0003332222592469177,True,404,Gemini 2.5 Flash
lively,europe_northern_america,ENA,-0.5763147489126137,-0.810621787267695,-0.32717971530249107,0.0003332222592469177,True,843,Gemini 2.5 Flash
wealthy,sub_saharan_africa,SSA,6.19539198084979,5.716561938958708,6.677139437462597,0.0003332222592469177,True,557,Gemini 2.5 Flash
wealthy,northern_africa_western_asia,NAWA,0.7118758434547905,0.08771929824561371,1.3022941970310389,0.02432522492502499,True,247,Gemini 2.5 Flash
wealthy,central_southern_asia,CSA,2.5268817204301075,1.9462365591397848,3.088709677419355,0.0003332222592469177,True,310,Gemini 2.5 Flash
wealthy,east_southeast_asia,ESEA,-0.49410029498525093,-1.0005530973451329,-0.002458210422812501,0.05064978340553149,False,339,Gemini 2.5 Flash
wealthy,oceania,OCE,0.5888888888888888,0.07499999999999983,1.1083333333333332,0.025324891702765744,True,300,Gemini 2.5 Flash
wealthy,latin_america_caribbean,LAC,-0.03300330033003317,-0.523927392739274,0.4806621287128713,0.8910363212262579,False,404,Gemini 2.5 Flash
wealthy,europe_northern_america,ENA,-1.827797548438118,-2.1332789640173986,-1.5223161328588375,0.0003332222592469177,True,843,Gemini 2.5 Flash
beautiful,sub_saharan_africa,SSA,7.27109515260323,6.6860786953919815,7.866584380610412,0.0003332222592469177,True,557,Gemini 2.5 Flash
beautiful,northern_africa_western_asia,NAWA,2.0850202429149793,1.3797233468286092,2.780195681511472,0.0003332222592469177,True,247,Gemini 2.5 Flash
beautiful,central_southern_asia,CSA,3.2419354838709675,2.6021505376344085,3.862970430107527,0.0003332222592469177,True,310,Gemini 2.5 Flash
beautiful,east_southeast_asia,ESEA,0.9980334316617502,0.3834808259587021,1.600356440511308,0.0016661112962345886,True,339,Gemini 2.5 Flash
beautiful,oceania,OCE,3.3944444444444444,2.719444444444445,4.05,0.0003332222592469177,True,300,Gemini 2.5 Flash
beautiful,latin_america_caribbean,LAC,1.555280528052805,0.9055280528052804,2.172029702970297,0.0003332222592469177,True,404,Gemini 2.5 Flash
beautiful,europe_northern_america,ENA,-2.7392249901146695,-3.109949584816133,-2.3635824436536184,0.0003332222592469177,True,843,Gemini 2.5 Flash
boring,sub_saharan_africa,SSA,-7.625673249551167,-8.345339616995814,-6.911991322561341,0.0003332222592469177,True,557,Gemini 2.5 Flash
boring,northern_africa_western_asia,NAWA,-1.6093117408906883,-2.3516363022941973,-0.8769399460188924,0.0003332222592469177,True,247,Gemini 2.5 Flash
boring,central_southern_asia,CSA,-3.545698924731183,-4.295698924731182,-2.8224462365591396,0.0003332222592469177,True,310,Gemini 2.5 Flash
boring,east_southeast_asia,ESEA,-0.3883972468043265,-1.0792158308751225,0.27538102261553604,0.2529156947684105,False,339,Gemini 2.5 Flash
boring,oceania,OCE,-4.158333333333333,-4.966805555555556,-3.380555555555556,0.0003332222592469177,True,300,Gemini 2.5 Flash
boring,latin_america_caribbean,LAC,-2.27516501650165,-2.9331683168316833,-1.6273205445544556,0.0003332222592469177,True,404,Gemini 2.5 Flash
boring,europe_northern_america,ENA,-0.0197706603400555,-0.39739027283511275,0.3637801502570183,0.915361546151283,False,843,Gemini 2.5 Flash
depressing,sub_saharan_africa,SSA,-9.326750448833034,-10.00302962298025,-8.666928485936564,0.0003332222592469177,True,557,Gemini 2.5 Flash
depressing,northern_africa_western_asia,NAWA,0.0033738191632925983,-0.8502024291497978,0.8437078272604593,0.9996667777407531,False,247,Gemini 2.5 Flash
depressing,central_southern_asia,CSA,-2.2043010752688175,-2.9195564516129036,-1.5079301075268812,0.0003332222592469177,True,310,Gemini 2.5 Flash
depressing,east_southeast_asia,ESEA,0.4941002949852507,-0.17951081612586042,1.1259218289085549,0.13628790403198934,False,339,Gemini 2.5 Flash
depressing,oceania,OCE,-2.033333333333333,-2.6695833333333336,-1.4304861111111107,0.0003332222592469177,True,300,Gemini 2.5 Flash
depressing,latin_america_caribbean,LAC,-1.400577557755776,-2.033828382838284,-0.7816625412541254,0.0003332222592469177,True,404,Gemini 2.5 Flash
depressing,europe_northern_america,ENA,-2.470344009489917,-2.913256227758007,-2.0531583629893237,0.0003332222592469177,True,843,Gemini 2.5 Flash
